구분,지역,항목,상태,사유/메모
사용자 준비중,강원,공무원+교행 합격선,🧑‍💻 엑셀 작업중,사용자가 엑셀로 정리 예정(시·군별)
사용자 준비중,충북,공무원+교행 합격선,🧑‍💻 엑셀 작업중,사용자가 엑셀로 정리 예정
사용자 준비중,충남,공무원+교행 합격선,🧑‍💻 엑셀 작업중,사용자가 엑셀로 정리 예정(시·군별)
사용자 준비중,전북,공무원+교행 합격선,🧑‍💻 엑셀 작업중,사용자가 엑셀로 정리 예정(시·군별)
사용자 준비중,전남,공무원+교행 합격선,🧑‍💻 엑셀 작업중,사용자가 엑셀로 정리 예정(시·군별)
사용자 준비중,경북,공무원+교행 합격선,🧑‍💻 엑셀 작업중,사용자가 엑셀로 정리 예정(시·군별)
원본없음,광주,공무원 접수(출원),⚠️ 보강불가,출원 자료 자체 없음(2026 접수만). 응시기반 경쟁률은 있음
원본없음,제주,공무원 응시,⚠️ 보강불가,접수현황만 존재·응시 자료 없음
원본없음,대전,공무원 2025 접수,⚠️ 보강불가,2025 제2회 접수파일 없음(2026만)
원본없음,대전,교행 응시,⚠️ 보강불가,접수결과 파일에 응시 없음(접수만)
확인필요,인천,교행 2024 합격선,🔍 자료없음,해당년 합격선 파일 없음(접수/응시만)
확인필요,제주,교행 2024 합격선,🔍 추출실패,합격선표 추출 실패. 미입력
확인필요,세종,공무원 2024 합격선,🔍 배포용,배포용 HWP(암호화) 추출 불가 → 사용자 PDF변환 요청
잔여 보강,인천,교행 2025 응시,⏳ 잔여,응시 hwpx 토큰스트림 미반영
잔여 보강,제주,교행 접수/응시,⏳ 잔여,토큰스트림 hwp 미반영
잔여 보강,대구,교행 응시,⏳ 잔여,응시현황이 pivot 양식
잔여 보강,세종,공무원 접수/응시,⏳ 잔여,접수결과 배포용·응시 xls 미반영
